code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600000,2015-04-14,18.03,18.04,17.56,17.89,-0.007764836383804763,372837000.0,6640480000.0,266969000000.0,333711000000.0,0.024984376200982136,148.51806654852223,2014-12-31 00:00:00,2015-03-19 00:00:00,7.096116285910865,2.752544625625995,1.7456868031222086,1.2826354641185396
sh600004,2015-04-14,13.57,14.18,13.48,13.99,0.030191458026509688,23223800.0,322130000.0,16088000000.0,16088000000.0,0.02019523632521134,22.94948907481893,2014-12-31 00:00:00,2015-03-31 00:00:00,14.792086075349761,2.9105346583512888,8.8214226262239,1.8948295127484505
sh600005,2015-04-14,5.15,5.18,5.06,5.13,-0.007736943907156735,216397800.0,1106340000.0,51780999999.99999,51780999999.99999,0.021438765454510345,27.771786968931956,2014-09-30 00:00:00,2014-10-31 00:00:00,94.7089507262883,0.6162704890263875,10.604902695544771,1.418114872455518
sh600006,2015-04-14,7.59,7.84,7.41,7.74,0.018421052631579116,69135700.0,528220000.0,15480000000.000002,15480000000.000002,0.03456785,27.004797860995556,2014-12-31 00:00:00,2015-03-27 00:00:00,110.1121037955956,0.8860269430032839,-47.146250837546475,2.541492992506209
sh600007,2015-04-14,18.19,18.3,17.74,17.95,-0.019125683060109422,6496300.0,116820000.0,18081000000.0,18081000000.0,0.006449233172943974,29.15435870690982,2014-12-31 00:00:00,2015-03-25 00:00:00,33.70084542693772,8.092470445851488,16.606590542909252,3.4611697352581245
sh600008,2015-04-14,15.19,15.27,14.8,15.12,-0.0006609385327165374,56373100.0,849910000.0,33264000000.0,36444000000.0,0.025624136363636363,53.46421339223532,2014-09-30 00:00:00,2014-10-31 00:00:00,55.08604233081905,6.9509712955378715,245.71010301227267,5.583518336025954
sh600009,2015-04-14,25.15,25.99,24.82,25.88,0.02861685214626397,21710200.0,553670000.0,28299000000.0,49870000000.0,0.01985441096858546,74.41489605763876,2014-12-31 00:00:00,2015-03-12 00:00:00,23.798102475281453,8.671668799664426,16.7296171870919,2.70112156672023
sh600010,2015-04-14,6.12,6.69,6.05,6.49,0.06393442622950829,1027919400.0,6513580000.0,102166000000.0,103874000000.0,0.06529762255544898,38.71035382892286,2014-09-30 00:00:00,2014-10-30 00:00:00,745.1181665014489,3.3325336066948807,17.592882667370436,5.524627857005846
sh600011,2015-04-14,8.66,9.46,8.58,9.41,0.08786127167630053,222671700.0,2016270000.0,98805000000.0,135696000000.0,0.02120682857142857,37.17797486611288,2014-12-31 00:00:00,2015-03-25 00:00:00,12.867338134849543,1.0820446462488735,4.07249481376178,1.9609727224862477
sh600012,2015-04-14,8.52,9.14,8.32,9.13,0.06286379511059392,38323600.0,342400000.0,10642000000.0,15143000000.0,0.03287863822589739,18.098615308013393,2014-12-31 00:00:00,2015-03-30 00:00:00,17.590573148269467,6.472606624319422,9.489342418711782,1.9920010141096085
sh600015,2015-04-14,14.79,15.66,14.43,15.34,0.03160726294552796,256122800.0,3842570000.0,99521000000.0,136597000000.0,0.039478338762673204,41.416252929560656,2014-09-30 00:00:00,2014-10-31 00:00:00,7.782326100431122,2.629664684586003,10.79355138219155,1.419017999504715
sh600016,2015-04-14,10.44,10.44,10.15,10.27,-0.016283524904214586,478680200.0,4917410000.0,280341000000.0,351549000000.0,0.017535949625634494,189.46005083307026,2014-12-31 00:00:00,2015-03-31 00:00:00,7.873913120147326,2.6614608802827204,1.5305755947858486,1.46059957968296
sh600017,2015-04-14,6.16,6.54,6.09,6.5,0.05519480519480524,224848700.0,1433290000.0,19992000000.0,19992000000.0,0.07310506952781112,20.8509920058523,2014-12-31 00:00:00,2015-03-24 00:00:00,34.91919510851893,3.9325933124604227,17.8320077864991,2.01083955794936
