code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600000,2019-06-18,11.820000,11.900000,11.720000,11.820000,0.004248,28965124.000000,341904864.000000,332186489274.359985,346941590292.539978,0.001031,159.524473,2018-09-30,2018-10-31,6.577832,1.580767,-0.884652,0.841091,11.820000
sh600004,2019-06-18,15.780000,16.320000,15.670000,16.180000,0.031888,12234111.000000,196411325.000000,33481605900.340000,33481605916.520000,0.005912,41.456801,2018-09-30,2018-10-31,23.401793,3.296671,10.661571,2.131359,16.180000
sh600006,2019-06-18,4.880000,4.900000,4.820000,4.880000,0.004115,9048832.000000,43902130.000000,9760000000.000000,9760000000.000000,0.004524,17.361394,2018-09-30,2018-10-30,19.551282,0.578364,-20.556024,1.388612,4.880000
sh600007,2019-06-18,14.100000,14.220000,13.990000,14.120000,-0.002120,1660520.000000,23374096.000000,14222829380.080000,14222829380.080000,0.001649,24.314051,2018-09-30,2018-10-31,18.917471,6.262038,11.050243,2.111781,14.120000
sh600008,2019-06-18,3.290000,3.320000,3.260000,3.290000,-0.006042,10530722.000000,34603658.000000,15859820464.670000,18705124601.029999,0.002185,25.157598,2018-09-30,2018-10-31,26.258111,1.149019,8.192480,1.265998,3.290000
sh600009,2019-06-18,74.740000,76.460000,74.200000,75.370000,0.007082,6467740.000000,487781240.000000,82415315966.520004,145234858225.760010,0.005915,227.506229,2018-09-30,2018-10-30,35.171963,23.106696,31.914804,5.348349,75.370000
sh600010,2019-06-18,1.720000,1.720000,1.690000,1.700000,-0.017341,393485053.000000,670706028.000000,53851259697.900002,77494555501.600006,0.012422,14.167313,2018-09-30,2018-10-31,26.234568,2.460032,9.264305,1.494505,1.700000
sh600011,2019-06-18,6.670000,6.700000,6.520000,6.630000,-0.008969,13765884.000000,90915699.000000,69615000000.000000,104078358970.169998,0.001311,30.361484,2018-09-30,2018-10-24,158.612440,0.781806,3.359173,1.248823,6.630000
sh600012,2019-06-18,6.230000,6.290000,6.230000,6.280000,0.004800,2207433.000000,13831765.000000,7319968000.000000,10416070800.000000,0.001894,13.632517,2018-09-30,2018-10-30,9.324425,4.291740,5.662249,1.057542,6.280000
sh600015,2019-06-18,7.620000,7.630000,7.590000,7.620000,0.001314,10745172.000000,81760221.000000,97708872288.240005,117250646750.460007,0.000838,32.728714,2018-09-30,2018-10-31,5.289830,1.391230,-1.029632,0.607171,7.620000
