code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600000,2019-06-21,12.180000,12.300000,12.030000,12.090000,-0.009016,55381180.000000,670759370.000000,339774505526.820007,354866651999.729980,0.001971,163.168433,2018-09-30,2018-10-31,6.728087,1.616876,-0.904860,0.860304,12.090000
sh600004,2019-06-21,17.140000,17.440000,16.900000,17.020000,-0.008159,12653711.000000,215911100.000000,35219835131.260002,35219835148.279999,0.006115,43.609070,2018-09-30,2018-10-31,24.616720,3.467821,11.215076,2.242011,17.020000
sh600006,2019-06-21,4.960000,5.020000,4.930000,4.990000,0.012170,24211050.000000,120519858.000000,9980000000.000000,9980000000.000000,0.012106,18.045565,2018-09-30,2018-10-30,20.321752,0.601156,-21.366088,1.443334,4.990000
sh600007,2019-06-21,14.080000,14.560000,14.060000,14.480000,0.031339,2840529.000000,40874551.000000,14585451092.320000,14585451092.320000,0.002820,25.502252,2018-09-30,2018-10-31,19.841946,6.568057,11.590256,2.214981,14.480000
sh600008,2019-06-21,3.610000,3.750000,3.560000,3.620000,0.008357,54132778.000000,197268634.000000,17450623125.259998,20581322509.340000,0.011229,27.681005,2018-09-30,2018-10-31,28.891904,1.264270,9.014218,1.392983,3.620000
sh600009,2019-06-21,78.600000,79.400000,77.700000,78.240000,-0.007107,8091164.000000,634272984.000000,85553593223.039993,150765228971.519989,0.007399,236.169396,2018-09-30,2018-10-30,36.511270,23.986572,33.130081,5.552007,78.240000
sh600010,2019-06-21,1.710000,1.740000,1.710000,1.740000,0.011628,421310993.000000,727659245.000000,55118348161.379997,79317956807.520004,0.013300,14.500662,2018-09-30,2018-10-31,26.851852,2.517915,9.482289,1.529670,1.740000
sh600011,2019-06-21,6.690000,6.740000,6.620000,6.660000,-0.004484,19335990.000000,128898707.000000,69930000000.000000,104549301770.940002,0.001842,30.498866,2018-09-30,2018-10-24,159.330144,0.785343,3.374373,1.254474,6.660000
sh600012,2019-06-21,6.400000,6.470000,6.400000,6.460000,0.010955,4003526.000000,25755540.000000,7529776000.000000,10714620600.000000,0.003435,14.023258,2018-09-30,2018-10-30,9.591685,4.414752,5.824542,1.087853,6.460000
sh600015,2019-06-21,7.780000,7.810000,7.750000,7.780000,-0.001284,27136509.000000,211170183.000000,99760502152.559998,119712602587.740005,0.002116,33.415932,2018-09-30,2018-10-31,5.400902,1.420443,-1.051252,0.619920,7.780000
sh600016,2019-06-21,6.410000,6.430000,6.380000,6.390000,-0.001563,110774739.000000,709009746.000000,226602967324.679993,279769654227.780029,0.003124,155.942566,2018-09-30,2018-10-31,5.250616,1.569147,-1.361225,0.696838,6.390000
sh600017,2019-06-21,3.210000,3.240000,3.200000,3.220000,-0.006173,55633628.000000,178944067.000000,9903605519.360001,9903605519.360001,0.018088,10.529907,2018-09-30,2018-10-27,17.005531,2.277103,7.005088,0.894312,3.220000
sh600018,2019-06-21,6.950000,7.080000,6.900000,7.000000,0.020408,58719677.000000,410745946.000000,162215722543.000000,162215722550.000000,0.002534,42.754928,2018-09-30,2018-10-31,13.650546,5.496818,29.313233,2.317344,7.000000
sh600019,2019-06-21,6.500000,6.550000,6.490000,6.540000,0.004608,33951827.000000,221481607.000000,144541108482.959991,145685916850.500000,0.001536,16.247285,2018-09-30,2018-10-30,6.764558,0.708486,2.773368,0.918326,6.540000
sh600020,2019-06-21,5.350000,5.430000,5.320000,5.370000,0.009398,36504255.000000,196181201.000000,12068386732.469999,12068386737.840000,0.016243,21.441579,2018-09-30,2018-10-31,26.401180,2.304264,3.242362,1.033865,5.370000
sh600021,2019-06-21,8.400000,8.580000,8.400000,8.480000,0.007126,4690500.000000,39919806.000000,18144988890.880001,22193552390.560001,0.002192,18.332838,2018-09-30,2018-10-30,17.355075,1.108622,3.853394,1.668941,8.480000
sh600022,2019-06-21,1.690000,1.710000,1.680000,1.700000,0.005917,92824277.000000,157522909.000000,18609134347.200001,18609134347.200001,0.008480,9.458640,2018-09-30,2018-10-30,5.691329,0.303444,8.735868,0.907829,1.700000
sh600023,2019-06-21,4.450000,4.470000,4.430000,4.440000,0.000000,20421265.000000,90984345.000000,60387063542.279999,60387063546.720001,0.001501,7.199172,2018-09-30,2018-10-27,14.327496,1.583934,6.557960,1.018454,4.440000
sh600025,2019-06-21,4.070000,4.080000,4.030000,4.050000,-0.002463,34052726.000000,137992935.000000,36158400000.000000,72900000000.000000,0.003814,4.117053,2018-09-30,2018-10-30,25.249377,,7.310469,1.789739,4.050000
sh600026,2019-06-21,6.330000,6.560000,6.320000,6.530000,0.034865,19073063.000000,123313377.000000,17866294582.330002,26329174582.330002,0.006971,11.073611,2018-09-30,2018-10-31,104.983923,2.060746,11.940026,0.942865,6.530000
sh600027,2019-06-21,3.850000,3.880000,3.850000,3.870000,0.005195,30252498.000000,116967401.000000,27073525615.110001,38169719647.110001,0.004324,6.615090,2018-09-30,2018-10-31,17.346481,0.537490,2.270327,0.791881,3.870000
sh600028,2019-06-21,5.390000,5.440000,5.370000,5.410000,0.009328,113954291.000000,616182042.000000,516967541353.450012,654995244184.859985,0.001193,16.397535,2018-09-30,2018-10-31,9.459093,0.340410,3.157415,0.951443,5.410000
sh600029,2019-06-21,7.570000,7.760000,7.510000,7.580000,-0.001318,65898371.000000,502639238.000000,53231687000.000000,92985165927.880005,0.009384,12.799046,2018-09-30,2018-10-31,25.174361,0.667645,4.301930,1.404562,7.580000
sh600030,2019-06-21,23.160000,24.040000,23.060000,23.670000,0.026898,317861506.000000,7503320794.000000,232313042439.000000,286807221828.000000,0.032386,130.295261,2018-09-30,2018-10-31,26.721608,7.989221,17.199535,1.877111,23.670000
sh600031,2019-06-21,13.230000,13.240000,13.000000,13.130000,-0.003794,92297590.000000,1209351287.000000,109476580782.399994,109971280934.710007,0.011070,610.773437,2018-09-30,2018-10-30,19.585322,4.522512,9.820494,3.377492,13.130000
sh600033,2019-06-21,3.390000,3.430000,3.370000,3.410000,0.011869,9255469.000000,31482435.000000,9358404000.000000,9358404000.000000,0.003372,23.404762,2018-09-30,2018-10-31,13.901345,3.630448,5.099447,1.043484,3.410000
sh600035,2019-06-21,3.450000,3.500000,3.450000,3.490000,0.011594,15293497.000000,53134661.000000,5328194000.480000,6031023001.800000,0.010017,10.159782,2018-09-30,2018-10-30,10.570783,4.255768,9.982216,0.993242,3.490000
sh600036,2019-06-21,38.380000,38.500000,37.500000,37.690000,-0.017978,59617631.000000,2257474698.000000,777504915491.319946,950535980701.689941,0.002890,179.861150,2018-09-30,2018-10-31,12.125599,4.986318,77.201966,1.933812,37.690000
sh600037,2019-06-21,10.550000,10.630000,10.490000,10.560000,0.006673,9811178.000000,103635993.000000,14697174444.480000,14697174455.040001,0.007049,55.478831,2018-09-30,2018-10-30,22.284650,5.821250,14.400323,1.156958,10.560000
sh600038,2019-06-21,40.400000,40.850000,40.120000,40.680000,0.017509,5024547.000000,203448655.000000,23979912806.880001,23979912806.880001,0.008524,119.845573,2018-09-30,2018-10-26,49.688531,1.926716,31.490943,3.223557,40.680000
sh600039,2019-06-21,3.770000,3.810000,3.760000,3.770000,0.000000,30487868.000000,115213250.000000,13033164546.480000,13611681172.700001,0.008819,28.846298,2018-09-30,2018-10-31,10.379956,0.369969,10.314637,1.028144,3.770000
